Connecticut,E,1,20.3,32.21,29.6,94.66,0.9713,1.0
Houston,S,1,23.0,31.72,25.6,94.73,0.9786,0.997
Purdue,M,1,19.7,29.12,27.2,91.28,0.9645,0.994
Auburn,E,4,18.9,28.9,27.7,93.33,0.9574,0.992
Iowa St.,E,2,18.3,26.72,23.9,92.92,0.9583,0.989
Arizona,W,2,18.5,26.62,25.8,91.66,0.9526,0.986
Tennessee,M,2,17.7,25.97,25.3,89.6,0.9384,0.983
Duke,S,4,16.9,24.88,23.5,87.73,0.9272,0.972
North Carolina,W,1,16.2,24.65,23.1,89.37,0.9306,0.975
Illinois,E,3,15.8,23.99,21.6,88.62,0.922,0.967
Creighton,M,3,16.4,23.4,21.7,87.06,0.9289,0.981
Marquette,S,2,15.0,22.74,21.0,87.09,0.933,0.978
Alabama,W,4,16.4,22.48,20.7,87.5,0.9129,0.945
Baylor,W,3,15.1,22.3,20.4,87.72,0.9105,0.964
Gonzaga,M,5,14.1,21.56,21.2,87.38,0.915,0.97
BYU,E,6,14.0,21.01,19.1,89.1,0.9069,0.958
Wisconsin,S,5,13.5,20.6,18.9,84.79,0.9022,0.956
Michigan St.,W,9,13.5,20.03,19.5,85.95,0.8983,0.953
Kentucky,S,3,13.0,20.02,20.8,87.41,0.8936,0.95
Saint Mary's,W,5,14.4,19.89,17.4,87.71,0.9199,0.961
San Diego St.,E,5,11.2,19.7,18.6,81.06,0.8792,0.895
Kansas,M,4,13.3,19.23,19.3,85.49,0.9115,0.936
New Mexico,W,11,9.6,18.94,18.1,84.12,0.893,0.928
Texas Tech,S,6,12.3,18.54,16.9,86.73,0.8847,0.925
Colorado,S,10,9.4,18.47,15.8,84.08,0.8866,0.947
Texas,M,7,12.5,18.4,17.8,85.5,0.9008,0.931
Nebraska,S,8,10.9,18.19,16.1,83.69,0.8998,0.942
Florida,S,7,12.1,18.19,17.3,83.55,0.8953,0.909
Mississippi St.,W,8,11.6,17.98,17.5,84.46,0.8772,0.922
Dayton,W,7,11.5,17.3,13.8,78.26,0.855,0.906
TCU,M,9,11.8,17.29,15.1,85.43,0.8694,0.917
Clemson,W,6,11.6,16.94,14.2,83.27,0.8647,0.903
Nevada,W,10,8.9,16.81,13.7,80.41,0.8631,0.892
Colorado St.,M,10,7.4,16.6,15.0,81.25,0.8461,0.873
Florida Atlantic,E,8,11.2,16.24,16.8,81.48,0.8165,0.856
Washington St.,E,7,9.8,16.22,14.1,83.09,0.8558,0.881
Texas A&M,S,9,11.1,16.11,14.8,67.29,0.85,0.878
Northwestern,E,9,10.1,15.91,13.0,82.14,0.8717,0.884
Utah St.,M,8,7.6,15.11,10.8,79.6,0.8147,0.809
South Carolina,M,6,8.8,15.06,11.7,81.55,0.8425,0.87
Drake,E,10,9.0,14.71,13.5,82.41,0.8285,0.875
Grand Canyon,W,12,8.5,13.91,12.2,79.44,0.7733,0.834
Oregon,M,11,8.5,13.43,11.5,82.15,0.8152,0.845
N.C. State,S,11,8.8,13.06,12.2,82.21,0.7982,0.867
James Madison,S,12,9.4,12.9,14.0,81.26,0.7778,0.861
McNeese St.,M,12,8.9,12.86,9.5,77.96,0.7517,0.798
Samford,M,13,5.5,9.79,7.2,75.91,0.7315,0.715
Yale,E,13,8.0,9.47,10.9,76.11,0.7441,0.765
Duquesne,E,11,6.0,9.37,8.5,77.45,0.7609,0.784
Charleston,W,13,5.5,7.61,8.0,76.08,0.7015,0.742
Vermont,S,13,6.3,6.98,7.9,76.71,0.6594,0.69
UAB,E,12,3.5,6.28,6.0,75.01,0.6632,0.731
Morehead St.,E,14,5.2,5.47,4.1,73.23,0.589,0.709
Akron,M,14,4.8,4.94,5.3,74.05,0.5957,0.612
Western Kentucky,S,15,0.7,3.06,5.0,72.07,0.5934,0.629
South Dakota St.,E,15,1.1,2.99,4.3,69.34,0.5833,0.643
Oakland,S,14,2.3,2.82,1.9,72.68,0.5851,0.601
Colgate,W,14,4.2,2.15,4.7,74.14,0.5123,0.623
Longwood,S,16,1.7,0.96,2.1,72.39,0.476,0.543
Long Beach St.,W,15,-0.6,-0.0,0.7,69.14,0.4313,0.568
Saint Peter's,M,15,-1.7,-2.32,-2.1,68.26,0.4035,0.465
Stetson,E,16,-0.9,-4.1,-2.8,68.26,0.3559,0.413
Grambling St.,M,16,-6.6,-7.81,-8.4,61.77,0.2804,0.224
Wagner,W,16,-5.4,-10.09,-8.2,63.42,0.2399,0.166
