Duke,E,1,24.7403,38.16,35.8,99.06,0.9842,0.997
Florida,W,1,20.0652,36.16,32.8,98.33,0.9794,0.994
Houston,M,1,23.7524,35.44,34.1,97.55,0.9765,1.0
Auburn,S,1,22.2963,35.05,30.4,96.37,0.9683,0.992
Tennessee,M,2,19.466,31.15,26.4,94.17,0.9474,0.989
Alabama,E,2,19.206,29.93,28.0,94.6,0.9677,0.981
Texas Tech,W,3,18.1932,28.05,25.2,92.89,0.9548,0.978
Michigan St.,S,2,17.3111,27.57,24.6,93.09,0.9533,0.972
Gonzaga,M,8,17.9295,27.29,25.4,92.85,0.9548,0.975
Iowa St.,S,3,18.6686,26.99,25.7,92.64,0.951,0.983
St. John's,W,2,17.0483,26.38,26.4,93.78,0.9403,0.961
Maryland,W,4,16.9394,26.35,24.3,92.25,0.9532,0.986
Wisconsin,E,3,16.0837,25.97,23.6,91.77,0.9544,0.97
Arizona,E,4,18.1892,25.72,23.4,92.06,0.9508,0.967
Missouri,W,6,13.6601,24.42,20.7,87.84,0.9358,0.964
Kentucky,M,3,16.1091,24.26,19.4,88.93,0.9314,0.945
Texas A&M,S,4,15.6264,24.08,20.8,54.53,0.924,0.956
Clemson,M,5,16.4195,23.93,21.4,88.87,0.9523,0.95
Purdue,M,4,15.7072,23.84,21.7,89.69,0.903,0.939
Illinois,M,6,15.2994,23.56,20.3,90.0,0.8806,0.948
Kansas,W,7,16.9276,23.26,22.5,89.01,0.9087,0.953
Saint Mary's,E,7,13.6922,23.09,21.7,86.74,0.9172,0.942
Louisville,S,8,14.0391,22.64,21.8,89.03,0.9337,0.934
BYU,E,6,15.0755,22.39,22.0,89.55,0.9511,0.959
Michigan,S,5,13.767,22.28,19.4,89.76,0.8903,0.923
Mississippi,S,6,13.5766,22.09,18.4,86.77,0.8871,0.915
UCLA,M,7,14.4422,21.76,20.5,89.18,0.9194,0.937
Marquette,S,7,15.8337,21.58,20.8,87.78,0.8855,0.931
Baylor,E,9,15.8899,21.15,20.4,88.38,0.8943,0.928
VCU,E,11,13.3842,20.61,21.9,87.44,0.9223,0.917
Oregon,E,5,13.2216,20.15,17.7,88.08,0.915,0.904
Mississippi St.,E,8,13.2262,20.1,18.1,86.2,0.8869,0.898
North Carolina,S,11,14.7591,19.55,20.2,87.0,0.9261,0.909
Georgia,M,9,12.5136,19.39,16.6,86.93,0.9326,0.901
Connecticut,W,8,16.4005,19.34,21.5,88.71,0.8677,0.926
UC San Diego,S,12,9.5932,18.77,16.6,84.73,0.917,0.912
Creighton,S,9,14.6007,18.7,19.0,86.29,0.874,0.92
Oklahoma,W,9,11.5353,18.36,15.1,85.39,0.8352,0.879
Arkansas,W,10,11.6655,17.71,17.3,54.5,0.8924,0.887
New Mexico,S,10,10.8185,17.32,17.9,83.61,0.8366,0.871
Colorado St.,W,12,10.526,17.29,16.9,86.45,0.9379,0.895
Texas,M,11,13.3499,17.15,16.3,85.14,0.7693,0.873
Vanderbilt,E,10,9.967,16.16,14.2,83.45,0.8745,0.876
Memphis,W,5,11.2511,15.35,16.8,82.83,0.7534,0.821
Utah St.,M,10,11.5197,15.22,13.9,83.76,0.8631,0.865
Drake,W,11,7.5816,14.14,14.9,83.24,0.8331,0.826
McNeese,M,12,8.3115,13.69,12.7,81.25,0.768,0.81
Liberty,E,12,6.4366,13.53,11.3,80.82,0.865,0.846
Yale,S,13,8.1021,11.05,13.0,80.53,0.6838,0.793
Lipscomb,S,14,3.8273,9.49,6.2,75.38,0.6754,0.705
High Point,M,13,6.8119,9.3,10.8,78.99,0.7735,0.76
Grand Canyon,W,13,6.1779,7.22,12.2,78.74,0.6944,0.758
Troy,M,14,3.6038,6.88,7.7,76.32,0.6783,0.719
Akron,E,13,3.1559,6.58,6.8,76.0,0.5923,0.738
UNC Wilmington,W,14,3.5046,5.14,7.1,77.53,0.6729,0.667
Wofford,M,15,0.938,4.16,4.8,74.5,0.5904,0.601
Robert Morris,E,15,-0.8958,2.09,2.0,74.27,0.6161,0.606
Bryant,S,15,1.2302,1.18,4.3,75.16,0.461,0.631
Nebraska Omaha,W,15,-2.8229,0.51,0.6,71.39,0.7289,0.642
Montana,E,14,-1.1701,0.38,0.5,72.91,0.7048,0.62
Norfolk St.,W,16,-1.0574,-1.53,0.4,70.24,0.3592,0.449
SIUE,M,16,-4.6232,-4.32,-4.0,68.97,0.4584,0.441
Mount St. Mary's,E,16,-4.6191,-6.67,-5.7,68.71,0.2978,0.336
Alabama St.,S,16,-6.6151,-9.24,-7.0,66.4,0.351,0.182
